GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
390610016001022,45202,100,4,4,0,0,0
390610009001008,45202,100,36,12,0,0,20
390610009001014,45202,21,28,15,0,0,13
390610009001026,45202,100,57,21,2,5,28
390610263001039,45204,31,0,0,0,0,0
390610265001005,45203,33,0,0,0,0,0
390610236001000,45236,3,0,0,0,0,0
390610068004000,45229,51,396,345,20,5,6
390610101003003,45211,41,25,2,6,1,14
390610025001001,45219,46,51,1,2,5,33
390610209011004,45211,3331,51,9,0,0,39
390610064003017,45229,78,0,0,0,0,0
390610040001008,45207,5151,106,83,0,0,15
390610109002010,45238,32,128,78,6,0,35
390170111232007,45069,42,59,18,3,14,24
391650319061000,45040,71,0,0,0,0,0
390170111252000,45069,42,224,7,17,19,166
390610077002011,45223,3337,48,42,0,1,3
390610095002001,45205,4951,36,20,7,0,4
390610041001009,45206,4031,97,28,1,0,63
390610255001007,45212,4,20,6,1,0,7
390610216042001,45231,17,71,11,2,9,39
390610256004003,45212,4,101,2,2,0,92
390610263001132,45203,27,0,0,0,0,0
390610235223007,45242,3,0,0,0,0,0
390610057022012,45213,3,0,0,0,0,0
390610215015001,45246,23,36,12,11,2,10
390610061001004,45216,4312,8,0,3,0,2
390170111311029,45241,67,18,0,2,0,16
390170111233001,45069,42,0,0,0,0,0
391650319061026,45040,71,69,0,1,12,55
391650320031007,45039,71,67,2,2,34,28
390610276001000,45212,3,0,0,0,0,0
390610218013011,45239,17,26,7,3,0,15
390610216041003,45231,17,111,39,0,4,60
390610077001006,45225,49,38,30,1,0,0
390610233001016,45213,4071,69,7,1,2,56
390610223024000,45249,3,103,8,1,1,89
390610215041006,45240,23,108,67,28,0,9
390610252003006,45212,4,0,0,0,0,0
390610061001012,45216,78,26,0,17,1,8
390610060001004,45216,78,73,15,11,0,43
390610207051004,45251,17,33,0,3,0,21
390610237011005,45236,4,32,3,0,1,25
390610244013008,45227,4023,12,0,1,1,8
390610098001005,45205,4952,66,29,8,0,24
390610258003010,45217,43,0,0,0,0,0
390610057023006,45213,3,0,0,0,0,0
390610227003028,45215,78,59,55,0,0,0
390610056002015,45227,29,30,2,0,0,26
390610207051009,45251,17,45,7,4,0,27
390610277001032,45223,27,24,2,0,0,16
390610082012003,45224,17,39,3,2,1,32
390610058005000,45213,4,53,38,3,0,8
390610276001017,45209,11,70,24,10,0,33
390610265003023,45202,21,100,0,7,4,82
390610269001035,45214,6,2,1,0,0,1
390610050005006,45208,11,105,5,11,0,86
390610028002028,45225,64,24,7,0,0,17
390610223011010,45246,20,607,100,487,0,9
390610250025002,45230,24,236,0,3,4,218
390610022001005,45219,19,159,120,5,1,25
390610069002004,45229,46,78,61,1,0,15
390610269001036,45214,16,48,42,0,0,3
390610239021004,45242,67,0,0,0,0,0
390610011001028,45202,24,0,0,0,0,0
390610056002013,45227,4023,63,7,0,3,53
390610226012003,45215,20,59,2,4,7,44
390610269002025,45214,16,27,25,1,0,0
390610073002025,45232,43,0,0,0,0,0
390610009002003,45202,100,111,74,2,1,32
390610233002005,45213,4071,11,0,2,0,3
390610084002003,45223,27,708,637,1,0,46
390610052003010,45209,51,246,15,6,11,208
390610047031030,45226,28,10,2,3,0,3
390610253002020,45212,4,0,0,0,0,0
390610018002011,45219,19,46,8,0,0,34
390610232012003,45215,43,49,7,0,3,34
390610051001004,45208,4023,53,2,3,1,46
390610207425000,45251,17,220,75,9,4,127
390610002001003,45203,49,0,0,0,0,0
390610263001066,45203,49,0,0,0,0,0
390610239023003,45242,3,234,3,2,8,216
390610235211015,45242,67,154,70,11,17,54
390610056004012,45227,25,72,45,1,0,26
390610101003023,45211,38,15,3,0,0,12
390610086012002,45225,3337,37,21,5,1,2
390610077001003,45225,3337,23,15,2,0,0
390610264001028,45214,49,42,35,0,0,5
390610074002001,45223,27,57,10,1,0,41
390610216041008,45231,17,56,24,1,0,24
390610213023011,45233,3381,105,0,1,1,100
390610075002002,45223,27,82,10,3,0,40
390610110001003,45237,43,59,53,3,0,1
390610082021010,45224,1711,71,56,3,0,8
390610232011011,45215,43,25,0,0,1,22
390610248002028,45227,29,12,0,1,2,6
390610077002030,45225,16,0,0,0,0,0
390610251023001,45255,30,72,0,7,0,61
390610250022002,45230,81,178,2,1,0,163
390610237014000,45236,2421,138,32,2,0,103
390610101003020,45211,41,0,0,0,0,0
390610101001008,45211,4331,153,116,6,0,24
390610016001033,45202,100,8,0,0,0,8
390610009003008,45202,6,0,0,0,0,0
390610093002002,45204,32,72,39,3,2,25
390610216041000,45231,17,252,181,7,0,52
390610240015007,45236,4,42,0,3,2,35
390610266002024,45202,28,0,0,0,0,0
390610233001013,45236,4,13,0,3,0,8
390610209011006,45211,3331,141,20,4,0,104
390610254012002,45212,4,0,0,0,0,0
390610254012008,45212,51,64,3,0,0,61
390610276001018,45209,2471,77,12,2,0,57
390610101003005,45211,38,57,21,1,0,29
390610253002016,45212,4,0,0,0,0,0
390610212024004,45238,3381,64,0,1,0,57
391650320033019,45040,71,0,0,0,0,0
390170111093004,45069,42,14,2,3,0,4
390250413053003,45245,82,41,0,6,12,21
390250405005007,45150,29,8,0,0,0,7
391650319061021,45040,71,429,5,13,193,203
391650320031010,45039,71,0,0,0,0,0
390250405005023,45150,29,26,0,0,0,24
390610093002007,45204,32,55,31,9,0,14
390610017001005,45202,17,67,21,1,6,38
390610016001013,45202,21,4,3,0,0,0
