SYSTEM,ROUTE,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,,,,,,,,,,,,
,632,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,634,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,645,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,657,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,662,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,665-13131,572,759,480,142,118,137,,,,,,,,,,,,
,685-13131,431,509,389,168,131,141,,,,,,,,,,,,
,686,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,687-13131,1067,1192,853,380,318,363,,,,,,,,,,,,
,690,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,704-13131,"10,025","10,727",6889,3080,3138,3884,,,,,,,,,,,,
,705-13131,5404,5743,3651,1983,2698,2844,,,,,,,,,,,,
,710-13131,5937,6488,4352,2056,2484,2825,,,,,,,,,,,,
,711,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,714,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,715,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,720-13131,26919,27756,19260,9797,11102,12462,,,,,,,,,,,,
,724,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,728-13131,5626,5787,3427,1386,2291,2549,,,,,,,,,,,,
,730,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,733-13131,7479,7972,4985,2793,3899,4301,,,,,,,,,,,,
,734-13131,5769,6092,3766,1907,2460,2933,,,,,,,,,,,,
,740-13131,2105,2258,1324,769,1027,1054,,,,,,,,,,,,
,741,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,744-13131,7985,8948,5491,2652,3087,3745,,,,,,,,,,,,
,745-13131,5940,6201,3863,1295,1686,1891,,,,,,,,,,,,
,750-13131,2229,2361,1389,614,925,1136,,,,,,,,,,,,
,751-13131,3854,4086,2749,1298,1973,2147,,,,,,,,,,,,
,753,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,754-13131,19406,21231,13762,6313,6413,7495,,,,,,,,,,,,
,757-13131,11265,11810,7064,3877,5010,5872,,,,,,,,,,,,
,760-13131,3749,3925,2545,1436,2165,2570,,,,,,,,,,,,
,761,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,762-13131,3250,3674,2344,1267,1699,1894,,,,,,,,,,,,
,770-13131,5549,5816,3667,1607,2310,2697,,,,,,,,,,,,
,780-13131,6037,6484,3661,1230,1819,2352,,,,,,,,,,,,
,788-13131,1880,2091,1240,589,919,1070,,,,,,,,,,,,
,794-13131,3573,3786,2449,1164,1548,1846,,,,,,,,,,,,
,854,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,856,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,860,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,861,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,862,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,863,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,864,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,901-13131,19932,22256,14552,6256,7317,8302,,,,,,,,,,,,
,902,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,910-13131,17213,19277,11604,3955,4448,5166,,,,,,,,,,,,
,920,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LA METRO RAIL,Blue,,,,,,,,,,,,,,,,,,
,Red,,,,,,,,,,,,,,,,,,
,Green,,,,,,,,,,,,,,,,,,
,Gold,,,,,,,,,,,,,,,,,,
,Expo,,,,,,,,,,,,,,,,,,
