GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
271230315002009,55106,64-113,60,8,4,32,15
271230318015001,55106,80-113,57,20,9,13,12
271230353002000,55104,21-113,85,3,6,0,65
271230375004005,55116,921-113,92,9,7,0,70
271230413021007,55113,225-113,42,0,5,6,29
271230342031002,55101,68-113,0,0,0,0,0
271230410011007,55112,25-113,60,0,3,2,47
271230425041002,55119,63-113,0,0,0,0,0
271230346022010,55106,74-113,89,9,28,25,23
271230309001007,55130,64-113,47,9,11,8,15
271230306025033,55106,71-113,40,0,4,2,32
271230319002011,55114,87-113,75,0,6,11,49
271230430021007,55104,21-113,74,0,2,2,65
271230332001009,55114,63-113,264,19,5,23,201
271230301004002,55108,3-113,0,0,0,0,0
271230318012006,55119,80-113,51,9,0,13,26
271230358001007,55102,63-113,0,0,0,0,0
271230301001010,55108,3-113,59,0,0,0,58
271230420011010,55108,87-113,0,0,0,0,0
271230342032003,55101,21-113,614,32,19,42,501
270531261025010,55401,7-113,0,0,0,0,0
270530110004010,55407,5-113,50,6,2,4,35
270530268124002,55445,760-113,63,18,2,14,26
270531040023026,55414,61-113,61,0,2,0,56
270530256032007,55431,539-113,163,0,6,5,145
270530262012016,55345,667-113,0,0,0,0,0
270531262011015,55405,19-113,0,0,0,0,0
270531048021004,55454,6-113,0,0,0,0,0
271230324001017,55104,67-113,141,109,15,10,7
271230324002010,55104,67-113,116,14,23,38,27
271230368001000,55102,70-113,0,0,0,0,0
271230410012017,55112,25-113,199,7,2,14,170
271230307023009,55119,54-113,83,14,13,18,32
271230307021017,55119,64-113,0,0,0,0,0
271230427003000,55109,219-113,42,2,2,5,30
271230301001007,55108,3-113,0,0,0,0,0
271230342011001,55101,68-113,0,0,0,0,0
271230340002003,55102,21-113,153,15,4,3,117
271230369002025,55102,74-113,68,0,5,3,55
271230369002040,55102,54-113,5,0,1,0,4
271230369001002,55102,70-113,39,0,0,0,37
271230404023003,55110,219-113,85,16,0,5,60
270370601054012,55118,452-113,29,3,3,0,16
270370601054006,55118,68-113,63,1,17,6,34
271230331001010,55106,74-113,30,1,8,4,9
271230422021003,55109,71-113,0,0,0,0,0
271230406061019,55109,270-113,0,0,0,0,0
271230334003005,55104,16-113,58,4,8,6,34
271230350003009,55104,63-113,49,1,0,4,43
271230312001000,55117,65-113,113,7,5,29,67
271230314001019,55117,71-113,0,0,0,0,0
271230424024002,55109,219-113,122,48,10,9,45
271230430014000,55105,74-113,44,1,1,0,33
271230408011037,55112,4-113,53,0,20,3,21
271230371002018,55107,62-113,26,4,5,5,7
271230344001021,55106,70-113,0,0,0,0,0
271230303002008,55117,61-113,41,1,2,5,33
271230303002010,55117,65-113,78,0,2,3,65
271230303002007,55117,3-113,40,0,2,0,34
271230425012014,55119,74-113,84,5,26,14,37
271230342016011,55102,64-113,0,0,0,0,0
271230423021011,55109,64-113,42,0,3,17,21
271230352002015,55105,63-113,67,0,1,0,64
271230302014004,55108,921-113,66,0,0,0,55
271230375001003,55116,84-113,114,4,5,13,92
271230342042004,55101,75-113,0,0,0,0,0
271230317024004,55106,74-113,709,270,91,188,138
271230318015006,55106,74-113,116,19,14,48,28
271230346013017,55106,365-113,645,349,37,79,152
271230321001017,55104,84-113,164,101,13,1,32
271230322001011,55104,67-113,61,2,2,3,49
270530264042032,55305,645-113,0,0,0,0,0
270530268165001,55445,724-113,0,0,0,0,0
270531040023021,55414,61-113,78,0,6,3,66
270531263001022,55411,30-113,57,13,2,2,38
270530001011012,55430,22-113,80,35,12,10,23
270530213002002,55422,14-113,53,5,2,1,34
270530246002024,55423,4-113,0,0,0,0,0
270530240041001,55435,6-113,21,7,2,2,1
270530268113004,55443,722-113,172,66,6,51,40
270530256013020,55431,535-113,0,0,0,0,0
270530252014015,55420,538-113,101,28,11,12,46
270531048023010,55455,272-113,0,0,0,0,0
270530249041026,55423,515-113,32,2,3,5,21
270530006014008,55418,4-113,73,2,7,0,60
270531005002025,55418,11-113,60,9,3,0,39
270530239013004,55439,589-113,57,0,3,4,47
270530239013015,55439,589-113,47,0,3,8,33
270370606032014,55118,417-113,27,2,1,2,20
271230306011000,55130,61-113,171,8,17,59,75
271230307033010,55106,64-113,84,8,5,37,28
271230374031007,55119,70-113,68,8,8,26,17
271230420011018,55108,87-113,0,0,0,0,0
271230307025013,55119,64-113,104,7,5,55,27
271630703042021,55115,270-113,51,0,2,0,48
271630709102008,55128,219-113,79,1,6,9,51
271630714003019,55071,364-113,0,0,0,0,0
271630712075014,55016,361-113,52,0,1,6,43
271630703042013,55115,270-113,25,0,0,0,21
271630714001006,55016,364-113,0,0,0,0,0
271630710033044,55055,364-113,6,0,1,1,4
271630710033047,55055,364-113,12,0,0,1,11
270370605032016,55076,68-113,71,0,8,3,54
270530259091012,55437,597-113,197,2,7,8,166
270530233004004,55343,615-113,66,2,1,1,54
270530238021018,55410,6-113,54,0,2,12,34
270530265113000,55441,717-113,116,5,9,1,94
270530234021022,55343,612-113,39,1,2,2,34
270370603013023,55075,71-113,0,0,0,0,0
270370604024017,55075,68-113,36,4,1,2,26
270370603023000,55075,68-113,31,2,2,0,19
270370605062016,55077,68-113,17,0,4,1,3
270370605054015,55077,75-113,0,0,0,0,0
271450008014001,56303,887-113,45,11,1,0,33
270531025003008,55418,17-113,26,0,2,0,16
270370601031017,55118,62-113,51,0,0,0,49
270530110001004,55407,14-113,65,13,6,1,40
270530219003032,55426,705-113,19,0,1,3,14
270530228021007,55416,17-113,56,0,2,2,52
270530273002029,55391,672-113,50,0,5,0,42
270531255004000,55420,542-113,0,0,0,0,0
270530207001011,55429,721-113,33,6,3,0,17
271230308003020,55117,3-113,70,2,11,30,20
271230314002015,55117,3-113,95,8,12,49,22
270530269062004,55316,766-113,51,1,1,5,43
270530262082006,55345,670-113,46,0,1,0,41
270530231002000,55410,6-113,41,0,0,0,38
270531255004013,55420,535-113,0,0,0,0,0
270530215051012,55427,756-113,10,1,3,0,4
270530027001012,55411,7-113,106,59,21,1,15
270530234022003,55343,612-113,0,0,0,0,0
270530243001001,55423,535-113,0,0,0,0,0
270370601022019,55118,62-113,99,0,6,1,89
271230346011022,55106,365-113,0,0,0,0,0
271230403021014,55110,270-113,95,1,2,9,81
271230402001029,55110,265-113,23,0,2,2,19
271230335003011,55104,83-113,16,5,3,0,5
271230424022016,55109,64-113,34,1,3,12,13
271230303004031,55117,61-113,76,0,0,13,62
270530272031017,55391,645-113,28,1,0,0,25
270530216021023,55422,755-113,15,3,3,0,6
271450003012018,56301,887-113,29,1,1,0,23
271410315004002,56304,887-113,3,0,1,0,0
271630707062009,55082,294-113,0,0,0,0,0
270530240032004,55435,578-113,0,0,0,0,0
270530230002025,55436,612-113,18,1,0,0,15
270530242002008,55423,538-113,49,3,7,3,32
270530238022013,55410,578-113,50,1,0,5,29
270530239022002,55439,46-113,0,0,0,0,0
270531065003005,55416,25-113,52,0,2,7,37
270530275031005,55331,671-113,142,1,7,2,132
270530268272005,55443,723-113,71,16,8,17,25
270530215023004,55428,755-113,0,0,0,0,0
270530121013023,55450,22-113,0,0,0,0,0
270530118005010,55417,22-113,68,1,8,2,49
270530268262011,55443,766-113,201,56,3,46,93
271630705013015,55082,294-113,31,0,4,0,25
271410315002031,56304,887-113,12,3,0,0,9
270530203021009,55429,723-113,168,65,7,45,45
270530245002006,55423,4-113,0,0,0,0,0
270530084002013,55408,11-113,99,9,67,1,7
270530038011013,55414,2-113,62,0,4,0,48
270530212001012,55422,19-113,76,0,1,4,61
270531261025003,55401,3-113,0,0,0,0,0
270531074001000,55406,7-113,35,4,5,2,20
270530238012017,55424,6-113,101,3,2,11,82
270530218001023,55422,9-113,32,0,3,0,27
270531020001017,55411,14-113,100,56,14,3,24
270530095003003,55407,23-113,67,10,6,2,42
270531009003014,55412,5-113,85,35,8,11,28
270531004001018,55412,22-113,80,17,27,16,19
270530095002000,55407,5-113,172,46,64,5,49
271630707033006,55082,294-113,0,0,0,0,0
271630709105022,55128,219-113,82,0,3,5,71
270530268121009,55445,723-113,59,16,5,24,10
270530201012007,55418,25-113,86,9,4,0,67
